dt,gyro_z,v_meas,v_sigma,a_lat,mask_gnss,e_gnss,n_gnss
0.1000,0.006151,-1.0000,2.8672,0.7464,1,584.647,-1409.482
0.1000,0.005502,-1.0000,2.8672,-0.0238,1,584.647,-1409.482
0.1000,0.005418,-1.0000,2.8672,-0.2746,1,584.647,-1409.482
0.1000,0.007044,-1.0000,2.8672,-2.4193,1,584.647,-1409.482
0.1000,0.006019,-1.0000,2.8672,0.2129,1,584.647,-1409.482
0.1000,0.004155,-1.0000,2.8672,-0.5602,1,584.647,-1409.482
0.1000,0.006914,-1.0000,2.8672,4.5877,1,584.647,-1409.482
0.1000,0.002985,-1.0000,2.8672,0.0363,1,584.647,-1409.482
0.1000,0.004988,17.6999,2.5739,0.5763,1,584.647,-1409.482
0.1000,0.003546,-1.0000,2.5739,1.8009,1,584.647,-1409.482
0.1000,0.004908,-1.0000,2.5739,-0.5574,1,584.647,-1409.482
0.1000,0.006444,-1.0000,2.5739,-1.1003,1,584.647,-1409.482
0.1000,0.004296,-1.0000,2.5739,1.6709,1,584.647,-1409.482
0.1000,0.004870,-1.0000,2.5739,-0.8290,1,584.647,-1409.482
0.1000,0.004811,-1.0000,2.5739,1.3552,1,584.647,-1409.482
0.1000,0.005569,-1.0000,2.5739,0.9628,1,584.647,-1409.482
0.1000,0.005896,-1.0000,2.5739,1.9222,1,584.647,-1409.482
0.1000,0.003349,-1.0000,2.5739,-1.4046,1,584.647,-1409.482
0.1000,0.006072,14.1485,1.8700,2.3538,1,584.647,-1409.482
0.1000,0.006137,-1.0000,1.8700,-0.8853,1,584.647,-1409.482
0.1000,0.004408,-1.0000,1.8700,0.9525,1,584.647,-1409.482
0.1000,0.006305,-1.0000,1.8700,-2.6475,1,584.647,-1409.482
0.1000,0.003970,-1.0000,1.8700,2.1229,1,584.647,-1409.482
0.1000,0.005512,-1.0000,1.8700,1.1946,1,584.647,-1409.482
0.1000,0.006142,-1.0000,1.8700,0.1451,1,584.647,-1409.482
0.1000,0.005298,-1.0000,1.8700,-3.2806,1,584.647,-1409.482
0.1000,0.006602,-1.0000,1.8700,1.2042,1,584.647,-1409.482
0.1000,0.005505,-1.0000,1.8700,0.6555,1,584.647,-1409.482
0.1000,0.005254,16.9145,2.3166,0.5616,1,584.647,-1409.482
0.1000,0.005400,-1.0000,2.3166,0.6218,1,584.647,-1409.482
